Population,Generation,Stage,Size,Weight,MMR,SMR,Temperature,Chamber
HTC4,5,2,l,0.76,1.316542908,0.220765585,H,5
LTC1,5,1,s,0.098,0.278338642,0.032595793,L,1
LTC1,5,1,s,0.112,0.464639301,0.054847154,L,2
LTC1,5,1,s,0.177,0.48624062,0.076796528,L,3
LTC1,5,1,m,0.307,0.462884817,0.08736577,L,4
LTC1,5,1,m,0.356,0.428317434,0.145592067,L,5
LTC3,5,1,s,0.04,0.114198838,0.022214201,L,6
LTC3,5,1,s,0.079,0.163877915,0.060774948,L,9
LTC3,5,1,s,0.17,0.618016465,0.077403612,L,10
LTC3,5,1,m,0.336,0.596845665,0.120986783,L,11
LTC3,5,1,l,0.624,1.683339928,0.123854238,L,12
HTC5,5,1,s,0.079,0.168110061,0.04341065,H,1
HTC5,5,1,s,0.135,0.674089797,0.194983046,H,2
HTC5,5,1,s,0.19,0.552589797,0.085266535,H,3
HTC5,5,1,s,0.222,0.612529006,0.167637967,H,4
HTC5,5,1,m,0.46,1.117897011,0.170299737,H,5
HTC4,5,1,s,0.089,0.178941023,0.003046686,H,1
HTC4,5,1,s,0.135,0.703275617,0.018888551,H,2
HTC4,5,1,s,0.282,0.895515486,0.109903853,H,4
HTC4,5,1,l,0.625,1.702080197,0.174074047,H,5
LTC1,5,3,m,0.389,0.62982133,0.115265175,L,1
LTC1,5,3,l,0.618,1.459761835,0.130136018,L,2
LTC1,5,3,l,0.625,1.093848553,0.175679865,L,3
LTC1,5,3,l,1.041,3.355805194,0.412309042,L,4
LTC1,5,3,l,1.26,2.650125653,0.392787204,L,5
LTC3,5,3,l,0.666,1.115982166,0.167212136,L,6
LTC3,5,3,l,0.81,1.391606287,0.222699624,L,9
LTC3,5,3,l,0.757,1.327449646,0.165514401,L,10
LTC3,5,3,l,0.971,1.158762927,0.404205659,L,11
LTC3,5,3,l,0.992,1.339341248,0.314957701,L,12
HTC5,5,3,m,0.584,1.547154802,0.044503888,H,1
HTC5,5,3,m,0.554,1.35995656,0.017392924,H,2
HTC5,5,3,l,0.676,1.552518705,0.120659645,H,3
HTC5,5,3,l,0.986,1.832870462,0.300968919,H,4
HTC5,5,3,l,1.217,1.918417484,0.434588021,H,5
HTC4,5,3,m,0.331,0.638952646,0.110887485,H,1
HTC4,5,3,l,0.627,1.648271865,0.171430333,H,2
HTC4,5,3,l,0.67,1.869238125,0.255476137,H,3
HTC4,5,3,l,0.835,1.778934463,0.221398918,H,4
HTC4,5,3,l,0.962,2.544014004,0.299331464,H,5
LTC1,5,2,m,0.475,0.794055547,0.141271731,L,1
