Compa No.,Population,Temperature,Generation,Weight,Length,Stage
TANK1.1,HTC4,H,4,NA,40,Mature
TANK1.1,HTC4,H,4,NA,40,Mature
TANK1.1,HTC4,H,4,NA,40,Mature
TANK1.1,HTC4,H,4,NA,40,Mature
TANK1.1,HTC4,H,4,NA,41,Mature
TANK1.1,HTC4,H,4,NA,41,Mature
TANK1.1,HTC4,H,4,NA,41,Mature
TANK1.1,HTC4,H,4,NA,41,Mature
TANK1.1,HTC4,H,4,NA,41,Mature
TANK1.1,HTC4,H,4,NA,41,Mature
TANK1.1,HTC4,H,4,NA,41,Mature
TANK1.1,HTC4,H,4,NA,42,Mature
TANK1.1,HTC4,H,4,NA,44,Mature
TANK1.1,HTC4,H,4,NA,44,Mature
TANK1.1,HTC4,H,4,NA,50,Mature
TANK2.1,LTC1,L,4,NA,22,Mature
TANK2.1,LTC1,L,4,NA,27,Mature
TANK2.1,LTC1,L,4,NA,27,Mature
TANK2.1,LTC1,L,4,NA,28,Mature
TANK2.1,LTC1,L,4,NA,29,Mature
TANK2.1,LTC1,L,4,NA,29,Mature
TANK2.1,LTC1,L,4,NA,30,Mature
TANK2.1,LTC1,L,4,NA,30,Mature
TANK2.1,LTC1,L,4,NA,30,Mature
TANK2.1,LTC1,L,4,NA,31,Mature
TANK2.1,LTC1,L,4,NA,31,Mature
TANK2.1,LTC1,L,4,NA,31,Mature
TANK2.1,LTC1,L,4,NA,32,Mature
TANK2.1,LTC1,L,4,NA,32,Mature
TANK2.1,LTC1,L,4,NA,32,Mature
TANK2.1,LTC1,L,4,NA,32,Mature
TANK2.1,LTC1,L,4,NA,32,Mature
TANK2.1,LTC1,L,4,NA,33,Mature
TANK2.1,LTC1,L,4,NA,33,Mature
TANK2.1,LTC1,L,4,NA,33,Mature
TANK2.1,LTC1,L,4,NA,33,Mature
TANK2.1,LTC1,L,4,NA,33,Mature
TANK2.1,LTC1,L,4,NA,33,Mature
TANK2.1,LTC1,L,4,NA,33,Mature
TANK2.1,LTC1,L,4,NA,33,Mature
TANK2.1,LTC1,L,4,NA,33,Mature
TANK2.1,LTC1,L,4,NA,33,Mature
TANK2.1,LTC1,L,4,NA,34,Mature
TANK2.1,LTC1,L,4,NA,34,Mature
TANK2.1,LTC1,L,4,NA,34,Mature
TANK2.1,LTC1,L,4,NA,34,Mature
TANK2.1,LTC1,L,4,NA,34,Mature
TANK2.1,LTC1,L,4,NA,34,Mature
TANK2.1,LTC1,L,4,NA,34,Mature
TANK2.1,LTC1,L,4,NA,34,Mature
TANK2.1,LTC1,L,4,NA,34,Mature
TANK2.1,LTC1,L,4,NA,34,Mature
TANK2.1,LTC1,L,4,NA,34,Mature
TANK2.1,LTC1,L,4,NA,34,Mature
TANK2.1,LTC1,L,4,NA,34,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,35,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,36,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,37,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,38,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,39,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,40,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,41,Mature
TANK2.1,LTC1,L,4,NA,42,Mature
TANK2.1,LTC1,L,4,NA,42,Mature
TANK2.1,LTC1,L,4,NA,42,Mature
TANK2.1,LTC1,L,4,NA,42,Mature
TANK2.1,LTC1,L,4,NA,42,Mature
TANK2.1,LTC1,L,4,NA,42,Mature
TANK2.1,LTC1,L,4,NA,42,Mature
TANK2.1,LTC1,L,4,NA,43,Mature
TANK2.1,LTC1,L,4,NA,43,Mature
TANK2.1,LTC1,L,4,NA,43,Mature
TANK2.1,LTC1,L,4,NA,43,Mature
TANK2.1,LTC1,L,4,NA,43,Mature
TANK2.1,LTC1,L,4,NA,43,Mature
TANK2.1,LTC1,L,4,NA,44,Mature
TANK2.1,LTC1,L,4,NA,44,Mature
TANK2.1,LTC1,L,4,NA,44,Mature
TANK2.1,LTC1,L,4,NA,44,Mature
TANK2.1,LTC1,L,4,NA,45,Mature
TANK3.2,HTC5,H,4,NA,20,Mature
TANK3.2,HTC5,H,4,NA,22,Mature
TANK3.2,HTC5,H,4,NA,24,Mature
TANK3.2,HTC5,H,4,NA,27,Mature
TANK3.2,HTC5,H,4,NA,27,Mature
TANK3.2,HTC5,H,4,NA,27,Mature
TANK3.2,HTC5,H,4,NA,29,Mature
TANK3.2,HTC5,H,4,NA,29,Mature
TANK3.2,HTC5,H,4,NA,29,Mature
TANK3.2,HTC5,H,4,NA,30,Mature
TANK3.2,HTC5,H,4,NA,30,Mature
TANK3.2,HTC5,H,4,NA,30,Mature
TANK3.2,HTC5,H,4,NA,30,Mature
TANK3.2,HTC5,H,4,NA,30,Mature
TANK3.2,HTC5,H,4,NA,30,Mature
TANK3.2,HTC5,H,4,NA,30,Mature
TANK3.2,HTC5,H,4,NA,30,Mature
TANK3.2,HTC5,H,4,NA,30,Mature
TANK3.2,HTC5,H,4,NA,30,Mature
TANK3.2,HTC5,H,4,NA,31,Mature
TANK3.2,HTC5,H,4,NA,31,Mature
TANK3.2,HTC5,H,4,NA,31,Mature
TANK3.2,HTC5,H,4,NA,31,Mature
TANK3.2,HTC5,H,4,NA,31,Mature
TANK3.2,HTC5,H,4,NA,31,Mature
TANK3.2,HTC5,H,4,NA,31,Mature
TANK3.2,HTC5,H,4,NA,31,Mature
TANK3.2,HTC5,H,4,NA,31,Mature
TANK3.2,HTC5,H,4,NA,31,Mature
TANK3.2,HTC5,H,4,NA,31,Mature
TANK3.2,HTC5,H,4,NA,32,Mature
TANK3.2,HTC5,H,4,NA,32,Mature
